Week,Predicted Production,Actual Production
47,3933.0237,2368
48,6458.36,6804
49,8313.879,9888
50,8907.272,8208
51,9509.369,8628
52,8673.27,8671
1,7932.1934,9792
2,6499.905,6540
3,6441.44,5928
4,5306.408,5448
5,5520.11,5160
6,4436.842,2736
7,5009.767,4104
8,5504.942,7068
9,6315.898,6984
10,6591.0303,7560
11,8572.733,10272
12,8364.351,8640
13,8918.519,7008
14,8986.468,7812
15,8430.094,8316
16,9075.757,8568
17,8543.427,7188
18,10121.706,8412
19,9724.876,11340
20,11077.799,11993
21,6682.206,4590
22,7346.576,4535
23,4238.432,4479
24,4737.5547,4420
