연도,주차,inTp_mean,inTp_min,inTp_max,inHd_mean,inHd_min,inHd_max,inCo2_mean,inCo2_min,inCo2_max,outTp_mean,outTp_min,outTp_max,생산량
2017,35,25.96830357142857,17.625,39.0,67.44047619047619,27.875,90.6,366.8169642857143,301.5,546.25,21.49360119047619,14.825,28.625,0
2017,36,24.407688492083334,18.975,35.925,77.90704365077382,28.4,94.825,364.86160714285717,304.5,566.25,21.88199404761905,17.575,29.425,0
2017,37,23.189682539702382,14.85,34.3,73.41934523809525,42.675,93.225,350.9057539684524,298.5,483.5,20.430109126964286,12.95,27.525,0
2017,38,23.037946428571427,14.1,31.875,77.59345238095239,47.275,93.45,385.0952380952381,311.5,583.5,20.473809523809525,10.875,29.25,0
2017,39,21.92455357142857,11.1,33.35,80.10595238095237,43.45,95.85,388.42261904761904,274.75,621.75,19.234077380952378,9.075,31.225,0
2017,40,21.161954365119048,13.4,31.8,84.29171626982144,51.4,95.5,352.200396825,220.3333333,475.75,18.504712301607142,10.9,27.125,0
2017,41,19.79479166666667,10.925,33.35,84.58943452380952,49.7,96.275,368.9389880952381,95.25,590.25,16.30848214285714,5.2,27.6,0
2017,42,18.61939484125,12.95,28.325,81.00257936505952,52.825,95.275,381.5620039684524,257.75,600.75,15.99340277779762,8.65,22.975,0
2017,43,16.98139880952381,11.3,28.4,81.76964285714286,50.475,96.15,409.67410714285717,253.0,637.75,13.121279761904763,5.5,23.35,0
2017,44,17.798757763975154,9.8,25.775,79.45326086956521,54.7,95.7,438.30434782608694,222.75,968.5,9.47520703931677,-0.175,18.7,0
2017,45,18.01364087297619,14.3,26.725,78.90024801589286,48.275,97.025,456.5367063488095,257.75,933.0,9.587797619071429,-0.125,21.675,0
2017,46,16.605797101449276,13.675,24.3,79.16702898550724,46.15,94.925,485.71014492753625,211.0,1145.75,5.027717391304348,-2.3,13.9,0
2017,47,16.604662698392858,13.25,28.225,84.71314484125,71.625,94.35,524.7624007934525,105.0,1661.0,4.452529761904762,-2.325,12.575,2368
2017,48,16.73139880952381,13.675,23.575,84.79315476190476,76.0,94.5,536.1964285714286,296.75,828.25,3.4602678571428576,-4.35,12.25,6804
2017,49,16.2125,13.425,23.375,85.16428571428571,75.825,93.85,805.4404761904761,240.75,2616.75,2.2632440476190476,-5.925,9.975,9888
2017,50,15.858928571428573,12.15,23.1,81.49017857142857,68.0,93.525,569.6458333333334,169.75,1000.75,-3.2181051587261904,-9.45,3.85,8208
2017,51,16.51651785714286,14.25,23.5,79.28407738095238,69.325,91.325,537.8973214285714,219.5,723.75,1.5227678571428573,-6.375,12.15,8628
2017,52,16.38154761904762,13.375,23.25,78.13139880952382,65.925,90.225,556.5252976190476,349.25,725.75,0.8427083333333333,-7.075,6.825,8671
2018,1,16.233035714285716,13.725,23.4,82.02440476190476,69.125,90.725,538.2172619047619,324.0,1087.25,-0.7372023809523809,-5.2,5.8,9792
2018,2,16.06671626982143,13.05,24.325,81.8110119047619,69.225,93.525,665.0024801607143,261.0,2437.25,-3.4284722222202384,-15.375,5.65,6540
2018,3,16.614335317440478,13.9,23.6,84.01418650791668,74.625,93.35,534.7971230160714,220.0,1487.0,2.589831349208333,-4.075,8.375,5928
2018,4,16.386247443803683,10.225,23.9,79.604754601227,68.1,92.625,681.6221881411043,221.75,2100.0,-5.701584867079755,-13.825,8.775,5448
