Week,Predicted Production,Actual Production
47,4364.4487,2368
48,6182.2,6804
49,7868.607,9888
50,9108.736,8208
51,9829.728,8628
52,9188.503,8671
1,8126.8394,9792
2,5972.6943,6540
3,5499.85,5928
4,4997.982,5448
5,4751.7905,5160
6,4879.9653,2736
7,5147.5044,4104
8,5878.7656,7068
9,6651.897,6984
10,7442.7354,7560
11,7890.874,10272
12,8211.136,8640
13,8318.242,7008
14,8517.748,7812
15,8624.735,8316
16,8946.695,8568
17,8995.068,7188
18,9665.176,8412
19,10251.668,11340
20,9752.318,11993
21,8163.3623,4590
22,7268.638,4535
23,5159.2646,4479
24,4310.3335,4420
