Week,Predicted Production,Actual Production
47,5165.8496,2368
48,7086.1333,6804
49,8701.039,9888
50,7728.478,8208
51,7961.412,8628
52,8108.8354,8671
1,8573.928,9792
2,6943.5444,6540
3,6995.017,5928
4,6690.094,5448
5,5941.122,5160
6,5181.623,2736
7,5341.115,4104
8,7080.6084,7068
9,7144.7593,6984
10,7279.996,7560
11,9115.082,10272
12,7663.154,8640
13,7241.5757,7008
14,7588.8013,7812
15,7719.6816,8316
16,7982.9463,8568
17,7168.9297,7188
18,7128.1953,8412
19,9697.247,11340
20,9247.404,11993
21,5517.9033,4590
22,6253.817,4535
23,5224.683,4479
24,5240.818,4420
